µØË°ÔÖ±¸»ú·¿¸ºÒ»²ãS0-ST|3S0-LS|1

S0-E1-NA|1#ÎÂÊª¶È
S0-E1-A2-ST|1
S0-E1-A2-VA|59
S0-E2-NA|2#ÎÂÊª¶ÈÈ£¨RH£¥£©
S0-E2-A2-ST|1
S0-E2-A2-VA|58.8

S0-E11-NA|DG-1-1¹ñ¿ª¹ØÄ£¿é
S0-E11-ST|1
S0-E11-D1-NA|DG-1-1×Ü¿Ø¿ª
S0-E11-D1-ST|1
S0-E11-D1-VA|ºÏÕ¢
S0-E11-D1-OV|0
S0-E11-D2-NA|1AU1-QF1
S0-E11-D2-ST|1
S0-E11-D2-VA|ºÏÕ¢
S0-E11-D2-OV|0
S0-E11-D3-NA|1AA1-QF1
S0-E11-D3-ST|1
S0-E11-D3-VA|ºÏÕ¢
S0-E11-D3-OV|0

S0-E12-NA|DG-1-2¹ñ¿ª¹ØÄ£¿é
S0-E12-ST|1
S0-E12-D1-NA|DG-1-2×Ü¿Ø¿ª
S0-E12-D1-ST|1
S0-E12-D1-VA|ºÏÕ¢
S0-E12-D1-OV|0
S0-E12-D2-NA|1AU2-QF1
S0-E12-D2-ST|1
S0-E12-D2-VA|ºÏÕ¢
S0-E12-D2-OV|0
S0-E12-D3-NA|1AA2-QF1
S0-E12-D3-ST|1
S0-E12-D3-VA|ºÏÕ¢
S0-E12-D3-OV|0


S0-E13-NA|ÅÅÑÌ×´Ì¬Ä£¿é
S0-E13-ST|3
S0-E13-D1-NA|·¢µç»ú·¿ÅÅÑÌ
S0-E13-D1-ST|3
S0-E13-D1-VA|Í£Ö¹
S0-E13-D1-OV|1
S0-E13-D2-NA|ÅäµçÊÒÅÅÑÌ
S0-E13-D2-ST|3
S0-E13-D2-VA|Í£Ö¹
S0-E13-D2-OV|1

S0-E14-NA|ÅÅÑÌ¿ØÖÆÄ£¿é
S0-E14-S4-VA|
S0-E14-D1-NA|·¢µç»ú·¿ÅÅÑÌ
S0-E14-D1-ST|1
S0-E14-D1-VA|ÔËÐÐ
S0-E14-D1-OV|1
S0-E14-D2-NA|ÅäµçÊÒÅÅÑÌ
S0-E14-D2-ST|1
S0-E14-D2-VA|ÔËÐÐ
S0-E14-D2-OV|1


S0-E21-NA|DG-1-1¹ñµçÁ¿ÒÇ
S0-E21-ST|1
S0-E21-A1-NA|PTÖµ
S0-E21-A1-ST|1
S0-E21-A1-VA|1
S0-E21-A2-NA|CTÖµ
S0-E21-A2-ST|1
S0-E21-A2-VA|160
S0-E21-A3-NA|ÏàµçÑ¹ A£¨V£©
S0-E21-A3-ST|1
S0-E21-A3-VA|239.50
S0-E21-A4-NA|ÏßµçÑ¹ AB£¨V£©
S0-E21-A4-ST|1
S0-E21-A4-VA|415.4
S0-E21-A5-NA|ÏàµçÁ÷ A£¨A£©
S0-E21-A5-ST|1
S0-E21-A5-VA|159.2
S0-E21-A7-NA|ÏàÓÐ¹¦¹¦ÂÊ A£¨Kw£©
S0-E21-A7-ST|1
S0-E21-A7-VA|29.28
S0-E21-A8-NA|Ïà¹¦ÂÊÒòÊý A
S0-E21-A8-ST|1
S0-E21-A8-VA|0.769!
S0-E21-A9-NA|ÏàÎÞ¹¦¹¦ÂÊ A£¨Kvar£©
S0-E21-A9-ST|1
S0-E21-A9-VA|24.16!
S0-E21-A10-NA|ÏàÊÓÔÚ¹¦ÂÊ A£¨Kva£©
S0-E21-A10-ST|1
S0-E21-A10-VA|38.080
S0-E21-A11-NA|ÏàµçÑ¹ B£¨V£©
S0-E21-A11-ST|1
S0-E21-A11-VA|239.2
S0-E21-A12-NA|ÏßµçÑ¹ BC£¨V£©
S0-E21-A12-ST|1
S0-E21-A12-VA|415.10
S0-E21-A13-NA|ÏàµçÁ÷ B£¨A£©
S0-E21-A13-ST|1
S0-E21-A13-VA|158.08 
S0-E21-A15-NA|ÏàÓÐ¹¦¹¦ÂÊ B£¨Kw£©
S0-E21-A15-ST|1
S0-E21-A15-VA|27.68
S0-E21-A16-NA|Ïà¹¦ÂÊÒòÊý B
S0-E21-A16-ST|1
S0-E21-A16-VA|0.735"
S0-E21-A17-NA|ÏàÎÞ¹¦¹¦ÂÊ B£¨Kvar£©
S0-E21-A17-ST|1
S0-E21-A17-VA|25.44!
S0-E21-A18-NA|ÏàÊÓÔÚ¹¦ÂÊ B£¨Kva£©
S0-E21-A18-ST|1
S0-E21-A18-VA|37.760
S0-E21-A19-NA|ÏàµçÑ¹ C£¨V£©
S0-E21-A19-ST|1
S0-E21-A19-VA|239.3
S0-E21-A20-NA|ÏßµçÑ¹ CA£¨V£©
S0-E21-A20-ST|1
S0-E21-A20-VA|413.30
S0-E21-A21-NA|ÏàµçÁ÷ C£¨A£©
S0-E21-A21-ST|1
S0-E21-A21-VA|149.28
S0-E21-A22-NA|Â©µçÁ÷£¨A£©
S0-E21-A22-ST|1
S0-E21-A22-VA|0 
S0-E21-A23-NA|ÏàÓÐ¹¦¹¦ÂÊ C£¨Kw£©
S0-E21-A23-ST|1
S0-E21-A23-VA|26.72
S0-E21-A24-NA|Ïà¹¦ÂÊÒòÊý C
S0-E21-A24-ST|1
S0-E21-A24-VA|0.748"
S0-E21-A25-NA|ÏàÎÞ¹¦¹¦ÂÊ C£¨Kvar£©
S0-E21-A25-ST|1
S0-E21-A25-VA|23.52!
S0-E21-A26-NA|ÏàÊÓÔÚ¹¦ÂÊ C£¨Kva£©
S0-E21-A26-ST|1
S0-E21-A26-VA|35.68
S0-E21-A27-NA|ÏàµçÑ¹£¨V£©
S0-E21-A27-ST|1
S0-E21-A27-VA|239.3
S0-E21-A28-NA|ÏßµçÑ¹£¨V£©
S0-E21-A28-ST|1
S0-E21-A28-VA|414.6
S0-E21-A29-NA|µçÁ÷£¨A£©
S0-E21-A29-ST|1
S0-E21-A29-VA|155.52
S0-E21-A30-NA|ÆµÂÊ£¨Hz£©
S0-E21-A30-ST|1
S0-E21-A30-VA|49.99
S0-E21-A31-NA|ÓÐ¹¦¹¦ÂÊ£¨Kw£©
S0-E21-A31-ST|1
S0-E21-A31-VA|83.84
S0-E21-A32-NA|¹¦ÂÊÒòÊý
S0-E21-A32-ST|1
S0-E21-A32-VA|0.751
S0-E21-A33-NA|ÎÞ¹¦¹¦ÂÊ£¨Kvar£©
S0-E21-A33-ST|1
S0-E21-A33-VA|73.44
S0-E21-A34-NA|ÊÓÔÚ¹¦ÂÊ£¨Kva£©
S0-E21-A34-ST|1S0-E21-A34-VA|111.68!
S0-E21-A35-NA|ÕýÏòÓÐ¹¦µçÄÜ£¨kWh£©
S0-E21-A35-ST|1
S0-E21-A35-VA|148374!
S0-E21-A36-NA|¸ºÏòÓÐ¹¦µçÄÜ£¨kWh£©
S0-E21-A36-ST|1
S0-E21-A36-VA|0#
S0-E21-A37-NA|ÕýÏòÎÞ¹¦µçÄÜ£¨kVarh£©
S0-E21-A37-ST|1
S0-E21-A37-VA|2.98313e+006#
S0-E21-A38-NA|¸ºÏòÎÞ¹¦µçÄÜ£¨kVarh£©
S0-E21-A38-ST|1S0-E21-A38-VA|144900



S0-E22-NA|DG-1-2¹ñµçÁ¿ÒÇ
